ReportDate,Rapporterat senaste dygnet,Uppskattad total
2020-03-28,3.0,3.0
2020-03-29,0.0,3.0
2020-03-30,247.0,250.0
2020-03-31,251.0,293.0
2020-04-01,295.0,311.0
2020-04-02,268.0,338.0
2020-04-03,333.0,362.0
2020-04-04,296.0,375.0
2020-04-05,359.0,404.0
2020-04-06,386.0,427.0
2020-04-07,396.0,435.0
2020-04-08,415.0,463.0
2020-04-09,395.0,470.0
2020-04-10,373.0,494.0
2020-04-11,447.0,488.0
2020-04-12,448.0,513.0
2020-04-13,469.0,530.0
2020-04-14,496.0,526.0
2020-04-15,479.0,530.0
2020-04-16,499.0,528.0
2020-04-17,467.0,527.0
2020-04-18,416.0,545.0
2020-04-19,443.0,543.0
2020-04-20,504.0,533.0
2020-04-21,511.0,536.0
2020-04-22,429.0,524.0
2020-04-23,435.0,533.0
2020-04-24,465.0,545.0
2020-04-25,463.0,560.0
2020-04-26,383.0,557.0
2020-04-27,508.0,544.0
2020-04-28,482.0,550.0
2020-04-29,410.0,537.0
2020-04-30,477.0,540.0
2020-05-01,413.0,530.0
2020-05-02,434.0,518.0
2020-05-03,399.0,509.0
2020-05-04,445.0,514.0
2020-05-05,437.0,505.0
2020-05-06,425.0,500.0
2020-05-07,427.0,481.0
2020-05-08,420.0,474.0
2020-05-09,344.0,471.0
2020-05-10,303.0,466.0
2020-05-11,396.0,440.0
2020-05-12,354.0,430.0
2020-05-13,326.0,413.0
2020-05-14,351.0,398.0
2020-05-15,331.0,397.0
2020-05-16,264.0,379.0
2020-05-17,279.0,371.0
2020-05-18,366.0,384.0
2020-05-19,351.0,372.0
2020-05-20,352.0,361.0
2020-05-21,244.0,354.0
2020-05-22,280.0,336.0
2020-05-23,244.0,334.0
2020-05-24,236.0,335.0
2020-05-25,301.0,343.0
2020-05-26,289.0,342.0
2020-05-27,231.0,335.0
2020-05-28,250.0,329.0
2020-05-29,284.0,311.0
2020-05-30,200.0,308.0
2020-05-31,221.0,313.0
2020-06-01,240.0,311.0
2020-06-02,267.0,307.0
2020-06-03,267.0,303.0
2020-06-04,254.0,296.0
2020-06-05,246.0,295.0
2020-06-06,197.0,289.0
2020-06-07,205.0,298.0
2020-06-08,271.0,296.0
2020-06-09,210.0,288.0
2020-06-10,242.0,282.0
2020-06-11,211.0,270.0
2020-06-12,203.0,263.0
2020-06-13,173.0,258.0
2020-06-14,161.0,252.0
2020-06-15,196.0,244.0
2020-06-16,207.0,229.0
2020-06-17,189.0,218.0
2020-06-18,158.0,221.0
2020-06-19,136.0,214.0
2020-06-20,106.0,214.0
2020-06-21,138.0,203.0
2020-06-22,154.0,200.0
2020-06-23,154.0,193.0
2020-06-24,153.0,190.0
2020-06-25,124.0,181.0
2020-06-26,150.0,171.0
2020-06-27,84.0,157.0
2020-06-28,74.0,150.0
2020-06-29,133.0,152.0
2020-06-30,101.0,144.0
2020-07-01,106.0,137.0
2020-07-02,111.0,125.0
2020-07-03,96.0,128.0
2020-07-04,60.0,126.0
2020-07-05,51.0,120.0
2020-07-06,91.0,116.0
2020-07-07,82.0,104.0
2020-07-08,89.0,92.0
2020-07-09,64.0,90.0
2020-07-10,71.0,85.0
2020-07-11,40.0,83.0
2020-07-12,40.0,84.0
2020-07-13,74.0,85.0
2020-07-14,61.0,80.0
2020-07-15,60.0,73.0
2020-07-16,56.0,69.0
2020-07-17,47.0,62.0
2020-07-18,31.0,62.0
2020-07-19,22.0,56.0
2020-07-20,43.0,52.0
2020-07-21,47.0,59.0
2020-07-22,51.0,58.0
2020-07-23,48.0,58.0
2020-07-24,47.0,50.0
2020-07-25,29.0,53.0
2020-07-26,17.0,50.0
2020-07-27,45.0,49.0
2020-07-28,40.0,46.0
2020-07-29,35.0,43.0
2020-07-30,30.0,40.0
2020-07-31,35.0,40.0
2020-08-01,16.0,38.0
2020-08-02,15.0,40.0
2020-08-03,28.0,36.0
2020-08-04,38.0,40.0
2020-08-05,30.0,41.0
2020-08-06,34.0,41.0
2020-08-07,32.0,35.0
2020-08-08,13.0,38.0
2020-08-09,7.0,37.0
2020-08-10,33.0,33.0
2020-08-11,28.0,34.0
2020-08-12,22.0,34.0
2020-08-13,28.0,31.0
2020-08-14,23.0,31.0
2020-08-15,8.0,33.0
2020-08-16,14.0,30.0
2020-08-17,26.0,31.0
2020-08-18,25.0,27.0
2020-08-19,26.0,29.0
2020-08-20,23.0,27.0
2020-08-21,20.0,26.0
2020-08-22,6.0,26.0
2020-08-23,8.0,27.0
2020-08-24,21.0,22.0
2020-08-25,20.0,26.0
2020-08-26,15.0,22.0
2020-08-27,15.0,21.0
2020-08-28,14.0,20.0
2020-08-29,7.0,21.0
2020-08-30,8.0,23.0
2020-08-31,12.0,19.0
2020-09-01,13.0,16.0
2020-09-02,14.0,15.0
2020-09-03,13.0,16.0
2020-09-04,10.0,17.0
2020-09-05,3.0,17.0
2020-09-06,3.0,17.0
2020-09-07,11.0,13.0
2020-09-08,10.0,13.0
2020-09-09,10.0,14.0
2020-09-10,10.0,13.0
2020-09-11,9.0,13.0
2020-09-12,2.0,15.0
2020-09-13,4.0,16.0
2020-09-14,15.0,17.0
2020-09-15,13.0,16.0
2020-09-16,11.0,15.0
2020-09-17,15.0,17.0
2020-09-18,14.0,15.0
2020-09-19,4.0,16.0
2020-09-20,4.0,16.0
2020-09-21,12.0,18.0
2020-09-22,15.0,20.0
2020-09-23,16.0,18.0
2020-09-24,14.0,17.0
2020-09-25,17.0,17.0
2020-09-26,3.0,18.0
2020-09-27,1.0,18.0
2020-09-28,18.0,20.0
2020-09-29,13.0,21.0
2020-09-30,15.0,20.0
2020-10-01,20.0,24.0
2020-10-02,18.0,23.0
2020-10-03,2.0,22.0
2020-10-04,3.0,21.0
2020-10-05,19.0,21.0
2020-10-06,22.0,23.0
2020-10-07,19.0,24.0
2020-10-08,21.0,25.0
2020-10-09,23.0,26.0
2020-10-10,5.0,23.0
2020-10-11,5.0,24.0
2020-10-12,19.0,22.0
2020-10-13,17.0,23.0
2020-10-14,21.0,28.0
2020-10-15,22.0,30.0
2020-10-16,27.0,31.0
2020-10-17,6.0,27.0
2020-10-18,5.0,27.0
2020-10-19,28.0,30.0
2020-10-20,27.0,31.0
2020-10-21,26.0,34.0
2020-10-22,34.0,38.0
2020-10-23,34.0,40.0
2020-10-24,18.0,43.0
2020-10-25,22.0,48.0
2020-10-26,39.0,55.0
2020-10-27,48.0,55.0
2020-10-28,42.0,56.0
2020-10-29,51.0,56.0
2020-10-30,53.0,59.0
2020-10-31,31.0,60.0
2020-11-01,20.0,61.0
2020-11-02,69.0,72.0
2020-11-03,60.0,77.0
2020-11-04,71.0,87.0
2020-11-05,82.0,90.0
2020-11-06,83.0,92.0
2020-11-07,57.0,98.0
2020-11-08,43.0,103.0
2020-11-09,114.0,121.0
2020-11-10,127.0,130.0
2020-11-11,113.0,126.0
2020-11-12,115.0,130.0
2020-11-13,131.0,135.0
2020-11-14,67.0,143.0
2020-11-15,80.0,149.0
2020-11-16,119.0,145.0
2020-11-17,162.0,167.0
2020-11-18,170.0,180.0
2020-11-19,154.0,183.0
2020-11-20,176.0,183.0
2020-11-21,85.0,180.0
2020-11-22,90.0,183.0
2020-11-23,183.0,192.0
2020-11-24,174.0,192.0
2020-11-25,209.0,209.0
2020-11-26,181.0,220.0
2020-11-27,191.0,220.0
2020-11-28,106.0,219.0
2020-11-29,114.0,228.0
2020-11-30,203.0,235.0
2020-12-01,224.0,237.0
2020-12-02,200.0,240.0
2020-12-03,233.0,252.0
2020-12-04,237.0,247.0
2020-12-05,113.0,240.0
2020-12-06,109.0,241.0
2020-12-07,199.0,238.0
2020-12-08,231.0,250.0
2020-12-09,239.0,262.0
2020-12-10,238.0,258.0
2020-12-11,199.0,256.0
2020-12-12,163.0,257.0
2020-12-13,182.0,259.0
2020-12-14,233.0,255.0
2020-12-15,244.0,265.0
2020-12-16,253.0,264.0
2020-12-17,264.0,274.0
2020-12-18,258.0,279.0
2020-12-19,214.0,285.0
2020-12-20,245.0,294.0
2020-12-21,268.0,289.0
2020-12-22,249.0,296.0
2020-12-23,269.0,309.0
2020-12-24,270.0,303.0
2020-12-25,294.0,308.0
2020-12-26,253.0,312.0
2020-12-27,303.0,321.0
2020-12-28,325.0,338.0
2020-12-29,320.0,338.0
2020-12-30,296.0,343.0
2020-12-31,295.0,335.0
2021-01-01,320.0,341.0
2021-01-02,345.0,353.0
2021-01-03,300.0,355.0
2021-01-04,318.0,360.0
2021-01-05,344.0,375.0
2021-01-06,337.0,392.0
2021-01-07,365.0,387.0
2021-01-08,331.0,379.0
2021-01-09,348.0,382.0
2021-01-10,325.0,384.0
2021-01-11,364.0,371.0
2021-01-12,329.0,372.0
2021-01-13,357.0,368.0
2021-01-14,343.0,362.0
2021-01-15,343.0,369.0
2021-01-16,310.0,353.0
2021-01-17,251.0,341.0
2021-01-18,320.0,336.0
2021-01-19,303.0,346.0
2021-01-20,269.0,329.0
2021-01-21,301.0,315.0
2021-01-22,297.0,302.0
2021-01-23,241.0,285.0
2021-01-24,223.0,278.0
2021-01-25,247.0,277.0
2021-01-26,250.0,278.0
2021-01-27,245.0,275.0
2021-01-28,256.0,265.0
2021-01-29,248.0,250.0
2021-01-30,187.0,240.0
2021-01-31,171.0,245.0
2021-02-01,243.0,246.0
2021-02-02,205.0,240.0
2021-02-03,204.0,242.0
2021-02-04,224.0,248.0
2021-02-05,221.0,238.0
2021-02-06,181.0,251.0
2021-02-07,167.0,237.0
2021-02-08,221.0,238.0
2021-02-09,198.0,238.0
2021-02-10,218.0,233.0
2021-02-11,206.0,227.0
2021-02-12,206.0,220.0
2021-02-13,183.0,212.0
2021-02-14,180.0,218.0
2021-02-15,211.0,227.0
2021-02-16,216.0,231.0
2021-02-17,221.0,225.0
2021-02-18,184.0,207.0
2021-02-19,194.0,207.0
2021-02-20,166.0,203.0
2021-02-21,158.0,203.0
2021-02-22,193.0,211.0
2021-02-23,198.0,217.0
2021-02-24,198.0,223.0
2021-02-25,231.0,233.0
2021-02-26,216.0,229.0
2021-02-27,187.0,223.0
2021-02-28,175.0,231.0
2021-03-01,235.0,235.0
2021-03-02,205.0,225.0
2021-03-03,221.0,231.0
2021-03-04,218.0,229.0
2021-03-05,211.0,230.0
2021-03-06,195.0,238.0
2021-03-07,187.0,243.0
2021-03-08,227.0,230.0
2021-03-09,195.0,219.0
2021-03-10,219.0,221.0
2021-03-11,218.0,221.0
2021-03-12,225.0,233.0
2021-03-13,186.0,233.0
2021-03-14,152.0,236.0
2021-03-15,241.0,250.0
2021-03-16,252.0,255.0
2021-03-17,257.0,265.0
2021-03-18,243.0,264.0
2021-03-19,241.0,263.0
2021-03-20,261.0,280.0
2021-03-21,263.0,285.0
2021-03-22,231.0,279.0
2021-03-23,273.0,278.0
2021-03-24,271.0,282.0
2021-03-25,289.0,297.0
2021-03-26,246.0,297.0
2021-03-27,289.0,292.0
2021-03-28,228.0,301.0
2021-03-29,282.0,294.0
2021-03-30,272.0,303.0
2021-03-31,281.0,314.0
2021-04-01,315.0,321.0
2021-04-02,307.0,324.0
2021-04-03,326.0,331.0
2021-04-04,332.0,340.0
2021-04-05,337.0,337.0
2021-04-06,348.0,353.0
2021-04-07,345.0,356.0
2021-04-08,366.0,366.0
2021-04-09,377.0,377.0
2021-04-10,374.0,381.0
2021-04-11,375.0,375.0
2021-04-12,392.0,392.0
2021-04-13,380.0,395.0
2021-04-14,389.0,391.0
2021-04-15,386.0,386.0
2021-04-16,358.0,395.0
2021-04-17,362.0,397.0
2021-04-18,402.0,402.0
2021-04-19,405.0,416.0
2021-04-20,412.0,416.0
2021-04-21,400.0,407.0
2021-04-22,402.0,402.0
2021-04-23,390.0,396.0
2021-04-24,360.0,393.0
2021-04-25,386.0,386.0
2021-04-26,385.0,392.0
2021-04-27,380.0,390.0
2021-04-28,382.0,386.0
2021-04-29,382.0,384.0
2021-04-30,383.0,393.0
2021-05-01,371.0,390.0
2021-05-02,396.0,396.0
2021-05-03,406.0,406.0
2021-05-04,398.0,405.0
2021-05-05,402.0,402.0
2021-05-06,401.0,401.0
2021-05-07,403.0,403.0
2021-05-08,374.0,387.0
2021-05-09,381.0,381.0
2021-05-10,386.0,386.0
2021-05-11,365.0,375.0
2021-05-12,354.0,372.0
2021-05-13,338.0,346.0
2021-05-14,341.0,341.0
2021-05-15,308.0,314.0
2021-05-16,306.0,306.0
2021-05-17,292.0,295.0
2021-05-18,280.0,285.0
2021-05-19,282.0,282.0
2021-05-20,264.0,273.0
2021-05-21,253.0,253.0
2021-05-22,249.0,249.0
2021-05-23,239.0,241.0
2021-05-24,227.0,227.0
