"Obs","datum","Inskrivna i slutenvård - rullande medelvärde","Inskrivna i slutenvård - antal","Inskrivna i intensivvård - rullande medelvärde","Inskrivna i intensivvård - antal","Avlidna, Underliggande orsak - rullande medelvärde","Avlidna, Underliggande orsak - antal"
"1","2020-02-21",0.000,0,0.0000,0,0.000,0
"2","2020-02-22",0.571,"-",0.0000,0,0.000,0
"3","2020-02-23",0.857,0,0.0000,0,0.000,0
"4","2020-02-24",1.143,0,0.0000,0,0.000,0
"5","2020-02-25",1.857,0,0.0000,0,0.000,0
"6","2020-02-26",1.571,"-",0.0000,0,0.000,0
"7","2020-02-27",1.571,4,0.0000,0,0.000,0
"8","2020-02-28",1.857,5,0.0000,0,0.000,0
"9","2020-02-29",4.286,0,0.0000,0,0.286,0
"10","2020-03-01",4.857,0,0.0000,0,0.286,0
"11","2020-03-02",5.143,"-",0.0000,0,0.286,0
"12","2020-03-03",5.286,17,0.2857,0,0.286,"-"
"13","2020-03-04",6.143,6,0.5714,0,0.571,0
"14","2020-03-05",7.571,6,0.5714,0,0.571,0
"15","2020-03-06",9.000,6,0.5714,"-",0.571,0
"16","2020-03-07",8.429,6,0.8571,"-",0.286,"-"
"17","2020-03-08",9.286,10,1.1429,0,0.286,0
"18","2020-03-09",11.429,12,1.1429,0,0.286,0
"19","2020-03-10",14.143,13,1.1429,"-",0.571,0
"20","2020-03-11",17.143,12,1.7143,"-",0.571,0
"21","2020-03-12",21.000,21,2.5714,0,0.857,0
"22","2020-03-13",25.286,25,3.4286,"-",1.143,"-"
"23","2020-03-14",30.714,27,3.4286,6,1.429,"-"
"24","2020-03-15",39.714,37,5.2857,6,2.143,"-"
"25","2020-03-16",49.571,42,7.1429,6,3.143,"-"
"26","2020-03-17",60.429,51,9.7143,"-",3.857,"-"
"27","2020-03-18",70.714,75,11.5714,15,4.857,5
"28","2020-03-19",79.143,90,15.1429,13,6.429,7
"29","2020-03-20",96.714,101,20.2857,20,7.857,7
"30","2020-03-21",113.857,99,25.5714,19,10.714,9
"31","2020-03-22",126.143,96,29.5714,31,13.143,13
"32","2020-03-23",142.286,165,33.7143,42,16.286,12
"33","2020-03-24",159.857,171,36.4286,39,19.857,22
"34","2020-03-25",175.857,161,38.1429,43,23.286,22
"35","2020-03-26",190.143,203,40.8571,42,26.857,29
"36","2020-03-27",202.571,224,40.0000,39,31.286,32
"37","2020-03-28",219.429,211,40.2857,31,35.286,33
"38","2020-03-29",234.571,196,42.4286,50,40.000,38
"39","2020-03-30",251.714,252,43.7143,36,46.571,43
"40","2020-03-31",256.857,289,45.5714,41,54.143,50
"41","2020-04-01",258.571,267,48.0000,58,59.857,55
"42","2020-04-02",257.143,323,48.2857,51,67.429,75
"43","2020-04-03",262.429,260,51.1429,52,75.286,85
"44","2020-04-04",264.714,223,52.8571,48,82.000,73
"45","2020-04-05",265.571,186,52.8571,52,91.571,91
"46","2020-04-06",260.286,289,52.5714,56,94.286,98
"47","2020-04-07",257.429,305,50.8571,53,97.429,97
"48","2020-04-08",253.143,273,51.7143,58,102.143,122
"49","2020-04-09",262.286,286,50.1429,49,105.286,94
"50","2020-04-10",251.857,240,50.1429,40,105.143,107
"51","2020-04-11",249.143,193,50.0000,54,106.000,106
"52","2020-04-12",248.286,250,47.5714,41,105.857,113
"53","2020-04-13",249.000,216,47.7143,56,109.857,97
"54","2020-04-14",250.714,286,49.0000,52,108.143,103
"55","2020-04-15",253.429,267,47.0000,41,106.571,121
"56","2020-04-16",244.429,291,47.1429,50,104.000,122
"57","2020-04-17",245.714,252,44.1429,49,104.143,95
